# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	96130
#@/user_id	c768ef2d-e87d-4330-bf27-256461b2f71b
a 	啊	c=30 d=1.66212e-07 t=96130
hai chang 	海昌	c=2 d=1 t=94578
hai de 	还得	c=1 d=1 t=37911
hai dei 	還得	c=6 d=1 t=37813
hai gui 	海龜	c=1 d=1 t=25427
hai hao 	還好	c=1 d=2.96297e-14 t=96130
hai hui 	還會	c=4 d=1 t=95139
hai hui si 	海会寺	c=3 d=0.562705 t=96130
hai jia 	還加	c=1 d=1 t=50937
hai ke yi 	還可以	c=5 d=0.00726759 t=96130
hai liang shu ju 	海量數據	c=1 d=1 t=82041
hai luo yin 	海洛因	c=1 d=1 t=20746
hai ma 	海馬	c=0 d=6.49271e-09 t=96130
hai ma ti 	海馬體	c=1 d=6.52526e-08 t=96130
hai mei 	還沒	c=8 d=1.00753 t=88344
hai mei dao 	還沒到	c=1 d=1.35193e-18 t=96130
hai mei xie 	还没写	c=1 d=1 t=85528
hai mei you 	還沒有	c=1 d=3.99755e-08 t=96130
hai neng 	還能	c=7 d=1.86596e-15 t=96130
hai pa 	害怕	c=2 d=1 t=74782
hai qing 	還請	c=1 d=1 t=73350
hai rang 	還讓	c=1 d=1 t=70870
hai se wei 	海瑟薇	c=1 d=1 t=23840
hai shi 	還是	c=147 d=0.42487 t=96130
hai si 	害死	c=1 d=1 t=41455
hai wai 	海外	c=2 d=1.93707 t=64389
hai wang 	海王	c=1 d=1 t=64388
hai yang 	海洋	c=8 d=1 t=75247
hai yao 	還要	c=9 d=0.65377 t=96130
hai yao qiu 	還要求	c=1 d=1 t=89131
hai yi wei 	還以爲	c=1 d=3.50295e-13 t=96130
hai yong 	還用	c=2 d=1 t=89443
hai you 	還有	c=78 d=0.937067 t=96130
hai you ma 	還有嗎	c=1 d=1 t=19941
hai you shui 	還有誰	c=1 d=1 t=28293
hai you yi ge 	還有一個	c=1 d=1 t=45793
hai zai 	還在	c=1 d=1 t=42703
hai zhi shi 	還只是	c=1 d=1 t=24305
hai zi 	孩子	c=4 d=1.9802 t=88898
han 	寒	c=1 d=1 t=39442
han 	汗	c=3 d=1 t=30010
han 	瀚	c=1 d=1 t=27445
han dong 	撼動	c=1 d=1 t=46132
han guo 	韓國	c=3 d=2.62792e-14 t=96130
han hu 	含糊	c=1 d=1 t=51947
han hua shu 	旱花屬	c=2 d=2.07149e-09 t=96130
han ju 	憨掬	c=2 d=1.99501 t=52123
han leng 	寒冷	c=1 d=1.92875e-22 t=96130
han nuo ta 	汉诺塔	c=1 d=1 t=39063
han shu 	函數	c=135 d=1.85032 t=96130
han shu ming 	函数名	c=3 d=3.8794e-08 t=96130
han shu zhi 	函數值	c=3 d=2.89356 t=58512
han tai ke ju 	憨态可掬	c=1 d=1 t=52121
han wan 	喊完	c=1 d=1 t=86816
han wei 	捍衛	c=1 d=1 t=74270
han wei zhe 	捍衛者	c=1 d=1 t=78230
han yang 	涵養	c=1 d=1 t=30013
han yi 	含義	c=200 d=0.177202 t=96130
han you 	含有	c=2 d=1 t=87113
han zi 	漢字	c=1 d=1 t=19255
hang 	杭	c=1 d=7.41828e-17 t=96130
hang 	航	c=1 d=7.38128e-17 t=96130
hang 	行	c=45 d=3.7613e-05 t=96130
hang ban 	航班	c=1 d=1 t=74288
hang hua 	行話	c=1 d=1 t=75001
hang ming 	行名	c=2 d=1 t=96056
hang nei 	行內	c=4 d=1.34121e-05 t=96130
hang nei shi 	行內實	c=1 d=2.1717e-06 t=96130
hang shu 	行數	c=3 d=1.00024 t=69752
hang shu 	行树	c=1 d=1 t=62984
hang xian 	航線	c=4 d=1 t=75857
hang xiang liang 	行向量	c=4 d=1 t=63753
hang xing 	航行	c=1 d=3.09987e-17 t=96130
hang ye 	行業	c=10 d=4.94277e-05 t=96130
hang zhong 	行中	c=1 d=3.83088e-07 t=96130
hang zhou 	杭州	c=1 d=1 t=46352
hao 	好	c=189 d=1.29386 t=96130
hao 	浩	c=11 d=2.9038e-12 t=96130
hao 	灝	c=1 d=1 t=26173
hao 	號	c=33 d=0.108924 t=96130
hao 	豪	c=2 d=0.00137461 t=96130
hao 	顥	c=1 d=1 t=75673
hao ba 	好吧	c=1 d=1 t=48630
hao ban fa 	好辦法	c=1 d=1 t=42873
hao bu rong yi 	好不容易	c=1 d=1 t=59343
hao chi 	好喫	c=1 d=4.95556e-06 t=96130
hao chu 	好處	c=2 d=6.34664e-05 t=96130
hao da 	好大	c=1 d=1 t=53193
hao de 	好的	c=19 d=4.60861e-05 t=96130
hao duo 	好多	c=1 d=1 t=39401
hao duo tian 	好多天	c=1 d=1 t=83772
hao fan 	好煩	c=3 d=1 t=70844
hao fei 	耗費	c=1 d=1 t=54641
hao ge 	浩哥	c=34 d=0.0238646 t=96130
hao hao 	好好	c=2 d=1.90891e-18 t=96130
hao huai 	好壞	c=1 d=1.43528e-16 t=96130
hao jian yi 	好建議	c=2 d=1 t=45093
hao jiang 	好講	c=1 d=1 t=25039
hao jiu 	好久	c=2 d=1 t=40110
hao le 	好了	c=1 d=1 t=90506
hao lei 	好嘞	c=4 d=1 t=90405
hao li 	耗力	c=1 d=1 t=72405
hao ma 	好嗎	c=1 d=1 t=89394
hao ma 	號碼	c=4 d=1.99005 t=76809
hao man 	好慢	c=1 d=1 t=77357
hao nan 	好難	c=1 d=1 t=56740
hao o 	好哦	c=1 d=1 t=94782
hao peng you 	好朋友	c=7 d=1 t=96093
hao qi 	好奇	c=2 d=1 t=46626
hao qiao miao 	號巧妙	c=1 d=0.00220948 t=96130
hao ran 	颢然	c=2 d=0.00268091 t=96130
hao shao 	好少	c=1 d=1 t=47365
hao shi 	好事	c=1 d=1 t=39257
hao ting 	好聽	c=2 d=1 t=74917
hao wan 	好玩	c=3 d=1 t=86819
hao wen 	好聞	c=1 d=1 t=22804
hao wu 	好惡	c=1 d=1 t=22903
hao wu 	好物	c=4 d=2.12653 t=77569
hao wu 	毫無	c=1 d=1.78908e-20 t=96130
hao xiang 	好像	c=33 d=3.242e-14 t=96130
hao xiang fa 	好想法	c=1 d=1 t=47278
hao xiang mu 	好項目	c=1 d=0.000133021 t=96130
hao xin 	好心	c=1 d=1 t=79676
hao xin qing 	好心情	c=1 d=1 t=26342
hao yi 	好意	c=1 d=1.1904e-21 t=96130
hao yong 	好用	c=7 d=7.85399e-12 t=96130
hao you 	好友	c=3 d=4.41722e-06 t=96130
hao yun 	好運	c=1 d=1 t=92659
hao zhe 	好着	c=1 d=1 t=35244
hao zhu yi 	好主意	c=1 d=1 t=92873
he 	何	c=2 d=1 t=76636
he 	合	c=2 d=1 t=84632
he 	呵	c=1 d=1.89939e-18 t=96130
he 	和	c=899 d=2.70855 t=96130
he 	喝	c=3 d=1 t=62081
he 	核	c=4 d=2.58909 t=83249
he 	賀	c=1 d=1 t=91466
he ai ke qin 	和蔼可亲	c=1 d=1 t=75253
he bing 	合併	c=14 d=2.80252e-06 t=96130
he bu long 	合不攏	c=1 d=1 t=45031
he cheng 	合成	c=3 d=1 t=43908
he chu 	何處	c=1 d=1 t=26115
he dao 	喝到	c=1 d=5.71793e-13 t=96130
he deng 	何等	c=1 d=1 t=61051
he fa 	和法	c=2 d=1.99005 t=62413
he fa xing 	合法性	c=1 d=1 t=75988
he gan suan 	核苷酸	c=18 d=1.58398 t=95926
he ge 	合格	c=4 d=2.98506 t=86901
he han shu 	核函數	c=5 d=1.68462e-08 t=96130
he hao 	和好	c=2 d=1.30422 t=30589
he ji 	合計	c=1 d=1 t=69410
he ji 	合集	c=8 d=7.72365e-21 t=96130
he jiu 	喝酒	c=1 d=1 t=53842
he kai ming 	何凱明	c=1 d=1 t=40791
he li 	合理	c=5 d=1.98049 t=76049
he nei ji 	和內積	c=1 d=1 t=48287
he ni 	和你	c=2 d=1 t=86097
he ping 	和平	c=2 d=1.99501 t=74736
he shi 	何時	c=1 d=1 t=57336
he shi 	合適	c=8 d=1 t=61173
he shu 	合數	c=1 d=1 t=37716
he tang 	喝湯	c=1 d=1 t=43975
he tong 	合同	c=1 d=1 t=76447
he xie 	和諧	c=2 d=1 t=78224
he xin 	核心	c=11 d=2.32828e-07 t=96130
he ying 	合影	c=1 d=8.03612e-17 t=96130
he zhao 	合照	c=1 d=1 t=30165
he zi 	盒子	c=1 d=5.7864e-06 t=96130
he zuo 	合作	c=13 d=1.99501 t=80310
he zuo ren 	合作人	c=1 d=1 t=69304
hei 	黑	c=1 d=1 t=65536
hei an 	黑暗	c=3 d=1 t=80163
hei bai 	黑白	c=1 d=1 t=52494
hei he 	黑盒	c=2 d=1.96561 t=26081
hei hua 	黑化	c=2 d=1 t=74202
hei hua 	黑話	c=1 d=1 t=75002
hei ma 	黑馬	c=14 d=0.0424857 t=96130
hei mi 	黑米	c=1 d=3.24984e-13 t=96130
hen 	很	c=51 d=1 t=96130
hen 	恨	c=1 d=6.08411e-08 t=96130
hen bu cuo 	很不錯	c=1 d=7.64159e-13 t=96130
hen bu wen ding 	很不稳定	c=2 d=1 t=53189
hen bu yu kuai 	很不愉快	c=1 d=3.71059e-14 t=96130
hen chang 	很長	c=4 d=1.96079 t=82202
hen da 	很大	c=8 d=1.63719e-08 t=96130
hen di 	很低	c=1 d=1 t=59890
hen diu ren 	很丟人	c=1 d=1 t=30994
hen duo 	很多	c=21 d=0.600496 t=96130
hen duo ren 	很多人	c=2 d=5.02088e-13 t=96130
hen duo zhong 	很多種	c=1 d=1 t=46726
hen fan 	很煩	c=2 d=1 t=73752
hen gao 	很高	c=1 d=1 t=59887
hen guan yong 	很管用	c=1 d=1 t=84770
hen hao 	很好	c=10 d=0.00444466 t=96130
hen jian dan 	很簡單	c=1 d=2.74038e-07 t=96130
hen jin 	很緊	c=1 d=0.36852 t=96130
hen jiu 	很久	c=4 d=1 t=71078
hen kan zhong 	很看重	c=1 d=1 t=43751
hen ke guan 	很可观	c=1 d=1 t=52290
hen kuai 	很快	c=3 d=0.000128448 t=96130
hen kun rao 	很困擾	c=1 d=1 t=66842
hen li jie 	很理解	c=1 d=1 t=42667
hen man 	很慢	c=1 d=1.95757e-20 t=96130
hen man 	很满	c=1 d=4.12995e-09 t=96130
hen mang 	很忙	c=1 d=1 t=51763
hen nan 	很難	c=8 d=8.05352e-13 t=96130
hen nan de 	很難得	c=1 d=1 t=29250
hen qiang 	很強	c=2 d=1 t=50087
hen qing chu 	很清楚	c=2 d=1 t=74159
hen re 	很熱	c=1 d=1 t=30858
hen rong xing 	很榮幸	c=1 d=1 t=40336
hen rong yi 	很容易	c=2 d=1 t=58414
hen shao 	很少	c=1 d=1 t=83262
hen shi 	很是	c=2 d=2.74934e-16 t=96130
hen shu 	很熟	c=2 d=1.79852 t=56724
hen xi huan 	很喜歡	c=1 d=1 t=29265
hen xiang 	很想	c=1 d=1.20839e-21 t=96130
hen xiang xi 	很詳細	c=1 d=0.00123708 t=96130
hen xiao 	很小	c=6 d=0.343009 t=96130
hen yan zhong 	很嚴重	c=1 d=1 t=45074
hen yi han 	很遺憾	c=1 d=1 t=34038
hen yi lai 	很依賴	c=1 d=1 t=80711
hen you 	很有	c=1 d=1 t=34731
hen zai yi 	很在意	c=1 d=1 t=35416
hen zao gao 	很糟糕	c=1 d=1 t=25102
hen zhong yao 	很重要	c=1 d=1 t=21816
heng deng 	恆等	c=2 d=1.02746 t=60798
heng du 	橫度	c=1 d=1 t=63030
heng liang 	衡量	c=4 d=7.7024e-18 t=96130
heng zhe 	橫着	c=1 d=6.70891e-11 t=96130
hong 	宏	c=1 d=1 t=53257
hong 	洪	c=3 d=1.01709 t=42452
hong 	紅	c=8 d=1 t=80441
hong cheng 	紅橙	c=1 d=1 t=65473
hong dian 	紅點	c=2 d=1 t=77152
hong dong 	轟動	c=1 d=1 t=59307
hong gou 	鴻溝	c=1 d=1 t=74233
hong guan 	宏觀	c=3 d=1 t=79718
hong jiu 	紅酒	c=1 d=1 t=44019
hong liu 	紅流	c=1 d=0.918512 t=96130
hong men 	紅門	c=6 d=3.63648 t=43271
hong qi 	紅旗	c=5 d=1 t=33055
hong se 	紅色	c=6 d=2.52835 t=65400
hong wei 	宏偉	c=1 d=1 t=46353
hong yang 	弘揚	c=1 d=1 t=78231
hong yi 	弘毅	c=1 d=1 t=53258
hou 	厚	c=2 d=1 t=62254
hou 	後	c=188 d=1.98935 t=96130
hou 	猴	c=1 d=1.42124e-18 t=96130
hou ban duan 	後半段	c=1 d=1 t=39534
hou bi yin 	後鼻音	c=1 d=1.84294e-16 t=96130
hou chu 	后出	c=6 d=0.000269421 t=96130
hou duan 	後端	c=16 d=0.000230162 t=96130
hou gou 	后溝	c=1 d=1 t=86268
hou guo 	後果	c=3 d=1.55562e-22 t=96130
hou hui 	後悔	c=1 d=1 t=52595
hou ji 	後繼	c=7 d=9.40453e-15 t=96130
hou ji bo fa 	厚积薄发	c=2 d=1 t=70901
hou ji jie dian 	後繼結點	c=3 d=4.89407e-12 t=96130
hou lai 	後來	c=2 d=1 t=59302
hou mian 	後面	c=18 d=0.000138574 t=96130
hou nian 	后念	c=1 d=1 t=25807
hou pai 	後排	c=1 d=5.60661e-17 t=96130
hou qi 	後期	c=1 d=1 t=92553
hou qu 	后驱	c=1 d=1 t=25505
hou qu jie dian 	后趋节点	c=1 d=4.5769e-12 t=96130
hou ren 	後人	c=1 d=1 t=39962
hou suo 	後索	c=2 d=2.56172e-08 t=96130
hou suo guo 	後索過	c=1 d=6.32251e-19 t=96130
hou tai 	後台	c=2 d=1.90032 t=76419
hou tian 	後天	c=1 d=0.0154124 t=96130
hou tong guo 	後通過	c=1 d=1 t=48807
hou wei er 	後尾兒	c=1 d=1 t=43030
hou xi 	後溪	c=0 d=0.1 t=61839
hou xu 	後序	c=4 d=1.00001 t=86707
hou xu 	後續	c=3 d=2.14491e-07 t=96130
hou xuan 	侯选	c=1 d=1 t=82499
hou xuan ci 	候选词	c=8 d=2.05548e-06 t=96130
hou xuan xiang 	候選項	c=1 d=1 t=82556
hou yan 	后验	c=4 d=1.393e-09 t=96130
hou yi ge 	後一個	c=2 d=0.0804596 t=96130
hou zhui 	後綴	c=3 d=1.00022 t=86057
hou zi 	猴子	c=1 d=1 t=79402
hu 	湖	c=1 d=1 t=57911
hu 	胡	c=21 d=0.985112 t=96130
hu 	虎	c=5 d=1 t=91930
hu die 	蝴蝶	c=1 d=1 t=76033
hu dong 	互動	c=4 d=1 t=92455
hu huan 	互換	c=4 d=1 t=70016
hu li 	胡力	c=1 d=1 t=43431
hu lian 	互連	c=1 d=8.07778e-19 t=96130
hu lian wang 	互聯網	c=14 d=0.873627 t=96130
hu lie 	胡烈	c=2 d=1.98511 t=42027
hu lue 	忽略	c=24 d=0.00637103 t=96130
hu lue le 	忽略了	c=1 d=1 t=41716
hu shi 	忽視	c=4 d=0.00185476 t=96130
hu shou 	護手	c=0 d=1.8692e-07 t=96130
hu shou gu 	護手股	c=1 d=1.87857e-06 t=96130
hu tian ge 	壶天阁	c=1 d=1 t=43324
hu xi 	呼吸	c=1 d=1 t=87614
hu xiang 	互相	c=1 d=1 t=38386
hu you 	互有	c=2 d=1.01593 t=96130
hu you 	忽悠	c=1 d=1 t=52572
hu zi 	鬍子	c=1 d=1 t=48798
hua 	化	c=19 d=4.66805e-10 t=96130
hua 	畫	c=14 d=1.99609 t=90655
hua 	花	c=13 d=1 t=86446
hua 	華	c=0 d=6.08411e-09 t=96130
hua 	話	c=47 d=0.782705 t=96130
hua ban 	畫板	c=4 d=2.95072 t=86305
hua bu 	畫布	c=7 d=1 t=71865
hua bu hua 	画不画	c=1 d=1 t=87275
hua chu 	畫出	c=19 d=8.1581e-12 t=96130
hua chu lai 	畫出來	c=4 d=1.91782e-14 t=96130
hua cuo 	划错	c=1 d=1 t=89287
hua de 	畫得	c=2 d=1.00393 t=88391
hua dong 	滑動	c=1 d=1 t=75280
hua fei 	話費	c=1 d=1 t=20582
hua fen 	劃分	c=27 d=0.0854666 t=96130
hua jie 	化解	c=1 d=1 t=50628
hua lang 	畫廊	c=5 d=3.32622e-16 t=96130
hua mian 	畫面	c=3 d=2.02764e-22 t=96130
hua nan 	樺南	c=1 d=1 t=75894
hua ping 	花瓶	c=1 d=1 t=73775
hua ren 	華人	c=1 d=1 t=40317
hua shi 	化石	c=1 d=1 t=63326
hua shi jian 	花時間	c=1 d=1 t=83857
hua ti 	話題	c=4 d=4.69037e-06 t=96130
hua tu 	畫圖	c=10 d=5.1347e-12 t=96130
hua wei 	華為	c=8 d=1 t=96122
hua xia qu 	畫下去	c=1 d=1.89874e-14 t=96130
hua xue 	化學	c=1 d=1 t=20735
hua zhong hua 	畫中畫	c=1 d=1 t=76771
hua zuo 	畫作	c=1 d=1 t=77615
huai 	壞	c=5 d=2.9605 t=81641
huai chu 	壞處	c=2 d=1 t=45140
huai hua 	壞話	c=1 d=1 t=21246
huai yi 	懷疑	c=1 d=1 t=74259
huan 	幻	c=2 d=3.09987e-17 t=96130
huan 	換	c=13 d=0.0434998 t=96130
huan 	環	c=1 d=1 t=47525
huan 	緩	c=2 d=0.1 t=80179
huan 	還	c=1 d=2.87442e-10 t=96130
huan bu liao le 	換不了了	c=1 d=1 t=79300
huan cheng 	換成	c=7 d=0.00937227 t=96130
huan chong 	緩衝	c=1 d=0.00297478 t=96130
huan chong ya li 	緩衝壓力	c=1 d=0.0298969 t=96130
huan cun 	緩存	c=5 d=1 t=76442
huan deng pian 	幻燈片	c=2 d=0.0513033 t=96130
huan ge 	換個	c=1 d=1 t=30313
huan hai hang xing 	幻海航行	c=2 d=3.11541e-16 t=96130
huan hang 	換行	c=5 d=6.5279e-05 t=96130
huan hen 	環痕	c=1 d=1 t=32930
huan huan 	緩緩	c=1 d=3.18441e-09 t=96130
huan jie 	換屆	c=2 d=1 t=79206
huan jie 	環節	c=4 d=1.35055e-06 t=96130
huan jie 	緩解	c=17 d=0.0524633 t=96130
huan jin 	換進	c=1 d=0.00491728 t=96130
huan jing 	環境	c=54 d=0.0180857 t=96130
huan jing ei 	環境誒	c=1 d=1 t=21006
huan kuai 	歡快	c=1 d=1 t=75810
huan san 	渙散	c=2 d=2.05515e-20 t=96130
huan suan 	換算	c=2 d=3.92287e-12 t=96130
huan xiang 	幻想	c=4 d=3.40822e-14 t=96130
huan xing 	喚醒	c=17 d=1.6942 t=44539
huan xing 	緩刑	c=3 d=1 t=68325
huan xing chi 	喚醒喫	c=1 d=1 t=39051
huan yi ge 	換一個	c=4 d=1.89137 t=68769
huan yi tian 	緩一天	c=1 d=1 t=80180
huan ying 	歡迎	c=2 d=6.5466e-17 t=96130
huan ying ye 	欢迎页	c=1 d=1 t=89756
huan you 	患有	c=1 d=1 t=20597
huan yuan 	還原	c=5 d=1 t=82980
huang 	黃	c=22 d=0.127454 t=96130
huang di 	皇帝	c=1 d=1 t=74987
huang dian 	黃點	c=1 d=1 t=52952
huang guan 	皇冠	c=1 d=1 t=21273
huang hang 	黄航	c=1 d=1 t=51482
huang hun 	黃昏	c=1 d=1 t=30969
huang jia en 	黃加恩	c=1 d=1 t=79253
huang mao 	黃貓	c=2 d=6.16366e-06 t=96130
huang men man 	黃燜鰻	c=1 d=1 t=28290
huang ren 	晃人	c=0 d=2.20715e-21 t=96130
huang ren tian 	晃人天	c=1 d=2.21821e-20 t=96130
huang rong 	黃蓉	c=0 d=2.4566e-16 t=96130
huang rong 	黄溶	c=0 d=2.21821e-21 t=96130
huang rong tian 	黃榮添	c=2 d=1.99501 t=75406
huang rong tian 	黃蓉添	c=4 d=2.46891e-15 t=96130
huang rong tian 	黄溶添	c=1 d=2.22933e-20 t=96130
huang se 	黃色	c=2 d=1 t=65325
huang shan 	黃山	c=1 d=1 t=36784
huang yan pei 	黃炎培	c=8 d=2.4146e-18 t=96130
huang zhang 	慌張	c=1 d=1 t=27701
hui 	回	c=16 d=2.74794e-10 t=96130
hui 	會	c=303 d=2.11655 t=96130
hui 	薈	c=1 d=0.196912 t=96130
hui 	輝	c=7 d=2.76536e-12 t=96130
hui ba 	會把	c=1 d=1.83406e-18 t=96130
hui bao 	回報	c=0 d=7.92752e-05 t=96130
hui bao 	彙報	c=7 d=1.60468e-05 t=96130
hui bao yi xia 	回報一下	c=1 d=0.000796726 t=96130
hui bei 	會被	c=1 d=1 t=55438
hui bu hui 	會不會	c=5 d=1.08841e-05 t=96130
hui che 	回車	c=1 d=1 t=25769
hui da 	回答	c=32 d=3.32133e-06 t=96130
hui da le 	回答了	c=1 d=1 t=54583
hui dao 	回到	c=6 d=1.0435 t=61615
hui dong 	揮動	c=1 d=1 t=78933
hui du 	灰度	c=5 d=7.89765e-09 t=96130
hui du ji 	灰度級	c=8 d=1.07388e-08 t=96130
hui du tu 	灰度图	c=2 d=1.18781e-10 t=96130
hui du zhi 	灰度值	c=2 d=1.16439e-10 t=96130
hui dui 	回懟	c=1 d=1 t=25278
hui dui 	會對	c=1 d=1 t=70095
hui fan 	毁犯	c=1 d=5.77539e-13 t=96130
hui fan 	燴飯	c=2 d=5.80434e-13 t=96130
hui fu 	回覆	c=9 d=3.24255e-16 t=96130
hui fu 	恢復	c=15 d=1.00773e-15 t=96130
hui gu 	回顧	c=8 d=1 t=82659
hui gui 	回歸	c=7 d=2.01097e-10 t=96130
hui gui wu ti 	回歸物體	c=1 d=2.02034e-09 t=96130
hui gun 	回滾	c=1 d=1 t=79825
hui hua 	會話	c=3 d=0.568873 t=96130
hui hua 	繪畫	c=1 d=0.292293 t=96130
hui huang 	輝煌	c=1 d=1 t=45322
hui jia 	回家	c=3 d=1.54064 t=90538
hui jiang 	會講	c=1 d=6.98865e-21 t=96130
hui lai 	回來	c=8 d=0.0409665 t=96130
hui liu 	回流	c=1 d=1 t=46049
hui lu 	迴路	c=6 d=1.66755e-07 t=96130
hui mie 	毀滅	c=1 d=1 t=77451
hui qu 	回去	c=17 d=6.2252e-13 t=96130
hui se 	灰色	c=3 d=1.40299e-13 t=96130
hui shi 	回事	c=2 d=1 t=93308
hui shou 	回收	c=2 d=7.52692e-11 t=96130
hui si 	會斯	c=2 d=1.0158e-08 t=96130
hui tou 	回头	c=1 d=1 t=53943
hui tu 	繪圖	c=1 d=1.79621e-08 t=96130
hui tui 	回退	c=1 d=1 t=38723
hui wo 	回我	c=1 d=1 t=48728
hui xiang 	回想	c=1 d=1 t=76461
hui yan 	會厭	c=1 d=0.687289 t=96130
hui yi 	回譯	c=2 d=7.24644e-06 t=96130
hui yi 	會議	c=9 d=1 t=92478
hui ying 	回應	c=1 d=5.49372e-13 t=96130
hui yong 	會用	c=3 d=1 t=82624
hui you 	會有	c=9 d=0.000184106 t=96130
hui you 	會由	c=1 d=1 t=34669
hui yuan 	會員	c=2 d=1.38841 t=96130
hui zai 	會在	c=2 d=1 t=93402
hui zen me yang 	會怎麼樣	c=2 d=1 t=50737
hui zhang 	徽章	c=2 d=5.04777e-17 t=96130
hui zhi 	繪制	c=11 d=1.63844 t=94514
hun an 	昏暗	c=1 d=1 t=75895
hun he 	混合	c=4 d=2.97523 t=80291
hun luan 	混亂	c=1 d=1 t=83095
hun mi 	昏迷	c=1 d=1 t=75966
hun ran yi ti 	浑然一体	c=1 d=0.843665 t=96130
hun xiao 	混淆	c=6 d=6.54529e-11 t=96130
huo 	或	c=63 d=0.00782245 t=96130
huo 	活	c=1 d=4.02935e-13 t=96130
huo 	火	c=1 d=4.19522e-17 t=96130
huo 	獲	c=3 d=2.35965 t=94738
huo ban 	夥伴	c=1 d=1 t=59277
huo bi 	貨幣	c=2 d=1 t=75990
huo che 	火車	c=2 d=1.96561 t=36757
huo de 	獲得	c=21 d=0.0107271 t=96130
huo de guo 	获得过	c=1 d=1 t=19577
huo deng yu 	或等於	c=1 d=9.14709e-11 t=96130
huo dong 	活動	c=103 d=1.50446 t=96130
huo dong na ge 	活動哪個	c=1 d=1.09302e-17 t=96130
huo fu 	霍夫	c=2 d=1.00102e-12 t=96130
huo fu bian huan 	霍夫變換	c=1 d=2.99173e-10 t=96130
huo fu man 	霍夫曼	c=3 d=1.88692 t=87043
huo ge 	火歌	c=1 d=1 t=88707
huo jian 	火箭	c=1 d=1 t=75043
huo jiang 	獲獎	c=3 d=1.89703e-16 t=96130
huo li 	活力	c=1 d=1 t=18815
huo li zhi 	活力值	c=1 d=1 t=29922
huo qu 	獲取	c=31 d=0.0934826 t=96130
huo rong 	火絨	c=3 d=2.3085 t=79891
huo shan 	火山	c=5 d=4.04047e-16 t=96130
huo shi 	伙食	c=1 d=1 t=30896
huo wu 	貨物	c=1 d=6.98508e-15 t=96130
huo xu 	或許	c=1 d=1 t=48445
huo yuan 	火源	c=1 d=1 t=43281
huo zhe 	或者	c=18 d=1 t=76718
huo zhun 	獲准	c=0 d=0.1 t=56795
ji 	及	c=3 d=1.12262e-05 t=96130
ji 	吉	c=5 d=1.99501 t=41876
ji 	幾	c=9 d=5.40227 t=92683
ji 	既	c=1 d=1 t=61558
ji 	機	c=0 d=6.59645e-19 t=96130
ji 	濟	c=1 d=1 t=32095
ji 	積	c=1 d=6.46473e-17 t=96130
ji 	集	c=9 d=0.0992613 t=96130
ji 	雞	c=4 d=5.87985e-18 t=96130
ji bai 	擊敗	c=3 d=2.13128 t=59333
ji bai ge 	幾百個	c=1 d=5.67762e-18 t=96130
ji ben 	基本	c=38 d=1.36348 t=96130
ji bian 	即便	c=2 d=1 t=47614
ji bie 	級別	c=4 d=0.594521 t=96130
ji bing 	疾病	c=2 d=1 t=95728
ji bu fen 	几部分	c=1 d=1 t=48018
ji bu zhu 	記不住	c=2 d=1.81612e-20 t=96130
ji ceng 	幾層	c=1 d=1.98614e-14 t=96130
ji cha 	極差	c=1 d=8.12959e-06 t=96130
ji cheng 	繼承	c=9 d=3.08438e-06 t=96130
ji cheng 	集成	c=11 d=6.24253e-05 t=96130
ji cheng xue xi 	集成学习	c=3 d=1.49284e-08 t=96130
ji chu 	基礎	c=52 d=1.13571 t=96130
ji chu shang 	基礎上	c=4 d=0.0066709 t=96130
ji ci 	幾次	c=2 d=1.95657e-14 t=96130
ji cun qi 	寄存器	c=1 d=0.000127168 t=96130
ji cuo 	記錯	c=0 d=0.1 t=41384
ji da 	極大	c=3 d=2.98506 t=53611
ji dai 	幾代	c=1 d=1 t=74741
ji de 	記得	c=5 d=0.000639387 t=96130
ji dian 	幾點	c=9 d=2.33075e-14 t=96130
ji dian 	績點	c=10 d=1.00001 t=45588
ji ding 	既定	c=1 d=1 t=64440
ji ding 	極頂	c=1 d=1 t=36833
ji dong 	機動	c=2 d=1.05784 t=42781
ji dong che 	機動車	c=8 d=4.59768 t=42741
ji du 	嫉妒	c=3 d=1.00001 t=49864
ji du 	季度	c=9 d=4.96244 t=90298
ji du 	極度	c=1 d=1 t=20629
ji du jiao 	基督教	c=1 d=1 t=64410
ji du pi lao 	极度疲劳	c=1 d=1 t=20628
ji duan 	機端	c=4 d=1 t=81727
ji eh 	集誒	c=1 d=0.1 t=88484
ji eh shi 	集誒是	c=1 d=1 t=88485
ji ei an 	集誒按	c=1 d=6.52859e-14 t=96130
ji ei dan 	集誒單	c=3 d=8.67854e-11 t=96130
ji er 	基爾	c=1 d=1 t=48459
ji fa 	激發	c=2 d=1.85642 t=39577
ji fen 	幾份	c=1 d=0.156453 t=96130
ji fu 	肌膚	c=1 d=1 t=20184
ji ge 	及格	c=4 d=0.153355 t=96130
ji ge 	幾個	c=16 d=0.350054 t=96130
ji ge ren 	幾個人	c=1 d=3.32577e-20 t=96130
ji gong bao 	鸡公煲	c=1 d=1 t=30893
ji gou 	機構	c=7 d=1 t=89375
ji gou ming 	機構名	c=1 d=1 t=80749
ji guo 	极果	c=1 d=1 t=25387
ji hang 	幾行	c=2 d=2.04558e-08 t=96130
